"","Species3","GhAhSkew","ThChSkew","ability_to_fly","ability_to_dive","Mutation_AG_midori","Mutation_CT_midori","Family3","Order3","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"18","Agapornis nigrigenis","0.673376837467012","0.797699903039909","0","0",NA,NA,"Psittacidae","Psittaciformes",9,3,5,1,8,16,13.9,9.7,14.7,13,92.8,39.4,53.4,42.5,39.8,40.5,"Updated_literature","BoW","NO",NA,NA,"Woodland",2,1,"Herbivore","Granivore","Generalist",-17.78,-16.02,-16.86,25.5,14343.6,"Extant"
"19","Agapornis pullarius","0.67555382174425","0.806839731209772","0","0",NA,NA,"Psittacidae","Psittaciformes",8,2,6,0,8,16.7,14.1,9.1,12.9,11.7,90.4,35.6,54.8,39.4,41.1,39.3,"Dunning",NA,"NO",NA,NA,"Woodland",3,1,"Herbivore","Granivore","Terrestrial",-9.73,12.71,4.59,17.37,2650780.74,"Extant"
"20","Agapornis roseicollis","0.668822865661875","0.745981087854112","0","0",NA,NA,"Psittacidae","Psittaciformes",5,2,3,0,4,19.4,17.2,10.6,17.7,13.4,100.8,41.1,59.9,40.7,45.8,53.8,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Granivore","Terrestrial",-29.62,-10.74,-20.62,16.11,455619.05,"Extant"
"21","Agelaioides badius","0.467913555579975","0.802612965593776","0","0",NA,NA,"Icteridae","Passeriformes",15,4,7,4,4,18.3,11.6,5,8.8,25.7,91.6,15.8,75.9,17.2,74.1,45.2,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Omnivore","Omnivore","Terrestrial",-43.67,-2.79,-24.2,-56.33,4752390.8,"Extant"
"22","Agelaius phoeniceus","0.448669014778645","0.835837915665376","0","0","0.1644185","0.3590375","Icteridae","Passeriformes",7,2,5,0,6,22.7,15.4,5.6,8.8,28,118,27.8,88.9,24,88.9,50.8,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Herbivore","Granivore","Generalist",9.66,67.41,44.62,-102.04,13703226.95,"Extant"
"23","Agelasticus cyanopus","0.520853096189947","0.826831285353401","0","0",NA,NA,"Icteridae","Passeriformes",4,2,2,0,4,24.2,16.5,5.1,7.8,24.9,87.8,13.4,74.3,15.3,80.8,37.2,"Dunning",NA,"NO",NA,NA,"Wetland",2,1,"Omnivore","Omnivore","Terrestrial",-34.96,4.41,-19.99,-55.22,2871357.35,"Extant"
"24","Agelasticus thilius","0.47662415036211","0.862168486713093","0","0",NA,NA,"Icteridae","Passeriformes",5,2,3,0,4,23,15.5,4.6,7.1,26.4,93.4,16.8,75.2,18.3,75.4,31.5,"Dunning",NA,"NO",NA,NA,"Wetland",2,1,"Carnivore","Aquatic predator","Terrestrial",-52.55,-13.04,-33.99,-63.8,2226093.79,"Extant"
"25","Agelasticus xanthophthalmus","0.517765924208748","0.821550710317819","0","0",NA,NA,"Icteridae","Passeriformes",4,2,2,0,4,23.4,16.8,5.7,7.7,28.8,91.2,14.8,76.5,16.1,80.8,45.1,"Dunning",NA,"NO",NA,NA,"Wetland",2,1,"Carnivore","Invertivore","Terrestrial",-12.97,-0.33,-11.93,-70.82,9690.74,"Extant"
"26","Aix galericulata","0.657858811321434","0.660108671149028","0","Anseriformes",NA,NA,"Anatidae","Anseriformes",5,2,3,0,4,33,20.9,13.5,10.6,34.8,222.2,111.1,110.6,50.1,94.6,567,"Dunning",NA,"NO",NA,NA,"Forest",3,3,"Herbivore","Herbivore aquatic","Generalist",21.9,54.31,45.58,131.94,1904941.91,"Extant"
"27","Alauda arvensis","0.632391781176401","0.787247758595419","0","0","0.232901","0.287119","Alaudidae","Passeriformes",29,10,19,0,12,14.8,8.7,4.5,4.8,23.9,108,37.5,70.6,34.7,67.7,37.3,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Omnivore","Omnivore","Terrestrial",-47.24,71.13,49.74,74.54,33005050.82,"Extant"
"28","Alcedo atthis","0.386509177117416","0.827027280498811","0","Coraciiformes",NA,NA,"Alcedinidae","Coraciiformes",12,2,4,6,4,42.2,32.5,5.7,7.4,9.9,73.3,19.3,52.6,26.9,32.3,31.1,"Dunning",NA,"NO",NA,NA,"Riverine",2,1,"Carnivore","Aquatic predator","Insessorial",-10.94,61.16,39.55,74.25,24992154.31,"Extant"
"29","Aleadryas rufinucha","0.374818057202351","0.717706456302039","0","0",NA,NA,"Pachycephalidae","Passeriformes",5,2,3,0,4,20.3,11.2,4.9,7.3,30.2,84.8,12.2,70.8,14.7,70.2,40.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-10.11,-0.49,-5.12,141.61,150684.68,"Extant"
"30","Alectoris chukar","0.473880567507361","0.867712179953129","0","0","0.1702195","0.382917","Phasianidae","Galliformes",6,0,2,4,4,21.8,14.1,8,8.6,39.8,153.8,44.9,110.3,29,81.7,502.1,"Dunning",NA,"NO",NA,NA,"Shrubland",3,1,"Herbivore","Granivore","Terrestrial",24.98,54.57,39.84,78.69,10343343.08,"Extant"
"31","Alectura lathami","0.517805580552441","0.645344098975021",NA,NA,NA,NA,"Megapodiidae","Galliformes",4,2,2,0,4,37.8,20.9,12,17.4,80.6,289.8,61.7,228,21.4,218.5,2333.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",-35.15,-10.02,-22.76,148.09,642830.5,"Extant"
"32","Amaurornis akool","0.37029831814198","0.872356127923839","0","waterbird",NA,NA,"Rallidae","Gruiformes",5,2,3,0,4,31.8,17,4,8,47.6,119.2,17.4,100.6,14.8,54,131.4,"Dunning",NA,"NO",NA,NA,"Wetland",1,2,"Carnivore","Omnivore","Terrestrial",11.87,33.28,23.74,91.2,3895470.77,"Extant"
"33","Amaurornis phoenicurus","0.29932719248018","0.887081472498044","0","waterbird",NA,NA,"Rallidae","Gruiformes",5,2,3,0,4,37.1,18.6,4.4,8.8,50.8,147,33.7,111.5,23.2,57.6,180,"Dunning",NA,"NO",NA,NA,"Wetland",2,1,"Carnivore","Aquatic predator","Terrestrial",-12.19,43.25,19.12,99.24,9839893.66,"Extant"
"34","Amazilia brevirostris","0.542600028262494","0.814770559564129","0","0",NA,NA,"Trochilidae","Apodiformes",4,2,2,0,4,19.6,15.2,2.1,1.8,5.1,48.8,30.3,18.5,62.2,28.5,4.3,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Nectarivore","Aerial",2.71,10.84,6.43,-61.1,584285.4,"Extant"
"35","Amazilia versicolor","0.524170232305113","0.822334462100412","0","0",NA,NA,"Trochilidae","Apodiformes",14,2,3,9,6,19.1,13.5,1.8,2,4.3,48.2,30.5,17.7,63.4,29,4.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Nectarivore","Aerial",-30.18,7.84,-10.93,-54.81,5113618.06,"Extant"
"36","Amazona aestiva","0.613822306753315","0.822488216697354","0","0","0.22253","0","Psittacidae","Psittaciformes",6,0,2,4,3,37.2,29,16.9,30,18.4,204.2,54,149.8,26.5,111.4,451,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Herbivore","Frugivore","Insessorial",-32.55,-2.56,-17.01,-52.1,5857429.4,"Extant"
"37","Amazona guildingii","0.556559769229904","0.850018327885961","0","0",NA,NA,"Psittacidae","Psittaciformes",4,2,2,0,4,41.1,33.5,22.2,34.2,27.7,262.5,82.5,180,31.4,153.2,646,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Insessorial",13.21,13.3,13.25,-61.2,43.1,"Extant"
"38","Amazona ochrocephala","0.611745401200038","0.820151280606787","0","0","0.4064975","0.3033335","Psittacidae","Psittaciformes",9,4,2,3,4,38.3,32.6,19.7,32.9,22,212.9,60.8,154.8,28.3,116.5,476.9,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",-17.01,12.46,-1.78,-64.37,6626117.83,"Extant"
"39","Amazona ventralis","0.618843103470277","0.875376290587967","0","0",NA,NA,"Psittacidae","Psittaciformes",5,1,1,3,4,30.9,24.8,14.8,26.4,19.3,183.6,68.1,115.9,37,97.8,214,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",17.54,19.79,18.66,-70.93,7113.45,"Extant"
"40","Amblyramphus holosericeus","0.47290510699775","0.781585953353434","0","0",NA,NA,"Icteridae","Passeriformes",7,3,4,0,4,30.7,21.6,6.8,9.7,31.1,102.6,12.7,88.9,12.2,96.3,56.8,"Dunning",NA,"NO",NA,NA,"Wetland",2,1,"Carnivore","Invertivore","Insessorial",-37.19,-12.35,-26.61,-56.99,1580707.22,"Extant"
"41","Anas acuta","0.670237986060761","0.579515656909817","0","Anseriformes",NA,NA,"Anatidae","Anseriformes",10,5,5,0,4,48.1,31.9,14.5,14.8,36.9,256.7,148.4,107.8,57.8,124.7,944.6,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Herbivore","Herbivore aquatic","Aquatic",38.65,75.28,59.6,26.95,28403500.77,"Extant"
"42","Anas crecca","0.651796557509087","0.615689506040693","0","Anseriformes",NA,NA,"Anatidae","Anseriformes",14,7,7,0,8,36.2,29.2,11.8,11.4,26.4,178.8,95.1,84.2,53.1,61.5,341.9,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",32,75.29,58.18,22.29,31784516.68,"Extant"
"43","Anas platyrhynchos","0.658874800105275","0.66471924059564","0","Anseriformes","0.192521","0.3993572","Anatidae","Anseriformes",12,6,6,0,4,58.5,41,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.4,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",20.46,72.37,51.63,11.04,39707247.47,"Extant"
"44","Anas poecilorhyncha","0.65706939172975","0.660057668208361","0","Anseriformes","0.291953","0.395158","Anatidae","Anseriformes",9,3,6,0,8,61,41.1,21,15.7,41.8,270.3,130.1,141.2,47.9,94.1,1000,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Herbivore aquatic","Aquatic",8.07,59.85,34.49,105.74,12862282.04,"Extant"
"45","Anhinga melanogaster","0.543706536890661","0.739683003292826","0","Suliformes",NA,NA,"Anhingidae","Suliformes",6,2,3,1,4,88,75.2,10.4,13.8,41.9,342.2,135.7,209.8,39.2,237.8,1480.1,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Carnivore","Aquatic predator","Aquatic",-10.44,33.76,15.9,92.29,6866922.36,"Extant"
"46","Anser albifrons","0.650032921360047","0.716783682419183","0","Anseriformes",NA,NA,"Anatidae","Anseriformes",6,3,3,0,4,48.7,27.6,18.4,17.5,65,408.2,213.8,192.8,52.6,123.5,2506.4,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Herbivore","Herbivore terrestrial","Terrestrial",57.07,78.34,68.29,12.71,5891602.97,"Extant"
"47","Anser anser","0.629613161275672","0.725165002107009","0","Anseriformes","0.365631","0.122512","Anatidae","Anseriformes",9,4,5,0,4,61.2,31.8,22.5,21.6,76.2,435.7,204.7,229.4,47.2,136.1,3302.4,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Herbivore","Herbivore terrestrial","Terrestrial",29.68,71.19,51.74,74.51,13285537.12,"Extant"
"48","Anser cygnoides","0.634733987317807","0.731895976163127","0","Anseriformes","0.19041215","0.211834833333333","Anatidae","Anseriformes",5,1,1,3,4,92.7,42.5,24.2,19.9,76.1,422.2,195,227.2,46.1,122.8,3511.9,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Herbivore","Herbivore terrestrial","Terrestrial",44.39,54.42,49.8,112.53,2166055.01,"Extant"
"49","Anser indicus","0.633681148044137","0.735049925469359","0","Anseriformes",NA,NA,"Anatidae","Anseriformes",5,2,3,0,4,49.9,25.2,19.8,14,70.8,437.8,215.2,213,50.3,132.6,2212.6,"Dunning",NA,"NO",NA,NA,"Wetland",3,3,"Herbivore","Herbivore terrestrial","Terrestrial",28.63,51.63,41.25,86.98,2371478,"Extant"
"50","Anseranas semipalmata","0.465689087222316","0.817802770133451","0","Anseriformes",NA,NA,"Anseranatidae","Anseriformes",7,3,3,1,4,85.6,42.4,22.8,20.4,87,405.6,144,269,34.9,148.1,2393.4,"Dunning",NA,"NO",NA,NA,"Wetland",3,2,"Herbivore","Omnivore","Terrestrial",-38.9,-10.62,-20.53,137.43,223353.42,"Extant"
"51","Anthoscopus minutus","0.701860184166492","0.831870893790127","0","0",NA,NA,"Remizidae","Passeriformes",5,3,2,0,4,8.6,6.7,2.5,3.7,13.4,49.8,7.4,42.1,14.9,34.8,6.6,"Dunning",NA,"NO",NA,NA,"Shrubland",3,1,"Omnivore","Invertivore","Insessorial",-34.84,-12.21,-25.5,21.4,1707193.51,"Extant"
"52","Anthracoceros coronatus","0.617323059280667","0.811301131047968","0","0",NA,NA,"Bucerotidae","Bucerotiformes",10,5,5,0,4,202.6,160.8,35,89.1,60.2,306.2,54.1,263.9,17,317.7,806.7,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Frugivore","Insessorial",5.92,24.81,19.07,80.77,701610.86,"Extant"
"53","Anthus novaeseelandiae","0.556832084646484","0.808456354430998","0","0",NA,NA,"Motacillidae","Passeriformes",18,8,7,3,8,15.5,9.2,3.4,3.9,25.6,83.8,19.7,67.2,22.6,65.1,24.1,"Dunning",NA,"NO",NA,NA,"Grassland",3,1,"Carnivore","Invertivore","Terrestrial",-52.62,-5.1,-27.09,135.73,6479742.4,"Extant"
"54","Aphelocoma coerulescens","0.33654977576513","0.761203764922821","0","0",NA,NA,"Corvidae","Passeriformes",9,2,7,0,4,30,17.7,9.1,9.1,37.8,116.7,20.6,96.2,17.5,140.5,77.1,"Dunning",NA,"NO",NA,NA,"Shrubland",2,1,"Omnivore","Omnivore","Insessorial",26.47,29.57,28.13,-81.41,6933.22,"Extant"
"55","Aptenodytes forsteri","0.634291309276693","0.822736322706931","Sphenisciformes","Sphenisciformes",NA,NA,"Spheniscidae","Sphenisciformes",5,2,2,1,4,94.2,53.5,13.9,17.7,47.2,179.4,6.7,175.1,3.7,117.5,33569.3,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aquatic",-78.26,-65.12,-71.04,50.53,83236.83,"Extant"
"56","Aptenodytes patagonicus","0.619201040668782","0.819825783428331","Sphenisciformes","Sphenisciformes",NA,NA,"Spheniscidae","Sphenisciformes",5,2,3,0,4,105.6,65.7,11,17.8,52.2,167.2,6.2,161.1,3.7,63.8,11731.1,"Dunning",NA,"NO",NA,NA,"Marine",3,2,"Carnivore","Aquatic predator","Aquatic",-54.89,-45.97,-51.39,-14.56,24905.39,"Extant"
"57","Apteryx haastii","0.317573534458785","0.87493904700439","Apterygiformes","0",NA,NA,"Apterygidae","Apterygiformes",9,6,3,0,5,139.1,6.3,4.9,5.6,74.9,0.1,0.1,0.1,0.1,0.1,2022.7,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Carnivore","Invertivore","Terrestrial",-42.84,-40.5,-41.52,172.15,8561.32,"Extant"
"58","Apus apus","0.432603150107403","0.90906206975313","0","0",NA,NA,"Apodidae","Apodiformes",16,9,7,0,3,10.2,4.3,4,2.8,8.8,161.3,120.2,48.1,71.6,67.4,37.6,"Dunning",NA,"NO",NA,NA,"Human Modified",1,3,"Carnivore","Invertivore","Aerial",27.16,69.95,48.52,57.95,24779919.71,"Extant"
"59","Aquila chrysaetos","0.559226934641583","0.823167585008226","0","0",NA,NA,"Accipitridae","Accipitriformes",8,2,6,0,8,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,"Dunning",NA,"NO",NA,NA,"Grassland",3,2,"Carnivore","Vertivore","Aerial",6.36,71.12,50.67,38.05,39450257.98,"Extant"
"60","Aquila heliaca","0.547361546114317","0.818610693037087","0","0",NA,NA,"Accipitridae","Accipitriformes",5,2,3,0,3,59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,"Dunning",NA,"NO",NA,NA,"Woodland",1,3,"Carnivore","Vertivore","Generalist",35.35,59.75,49.87,70.89,9556213.62,"Extant"
"61","Aquila nipalensis","0.52999148355983","0.842253226213446","0","0",NA,NA,"Accipitridae","Accipitriformes",5,2,3,0,4,54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Carnivore","Vertivore","Aerial",31.2,53.52,43.73,85.14,6933240.92,"Extant"
"62","Ara ararauna","0.500707634947808","0.759269133742159","0","0",NA,NA,"Psittacidae","Psittaciformes",13,6,3,4,8,66,61.9,30.2,55.1,31.9,381.3,115.4,264.6,30.1,492.5,1125,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-23.47,11.32,-6.59,-60.82,7780066.73,"Extant"
"63","Ara chloropterus","0.491430914562371","0.789951256400048","0","0",NA,NA,"Psittacidae","Psittaciformes",10,2,7,1,4,76.7,74.6,35.2,75.1,34.3,402.1,167.4,235.9,41.5,486.4,1214,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-24.41,11.52,-5.12,-61.95,8101232.43,"Extant"
"64","Ara glaucogularis","0.46764171301375","0.803130369356066","0","0",NA,NA,"Psittacidae","Psittaciformes",5,2,1,2,4,59.6,51.7,24.6,51.1,30.1,343.4,114.7,231.1,33.1,477,784,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-15.6,-13.44,-14.28,-65.21,27792.35,"Extant"
"65","Ara macao","0.481734726436978","0.798450984200758","0","0","0.194821711111111","0.251336388888889","Psittacidae","Psittaciformes",12,4,5,3,8,67.2,64.1,31.8,63.5,31.6,393.7,127.5,263.7,32.7,554.5,1015,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Omnivore","Insessorial",-18.13,17.43,-2.86,-63.9,6755480.57,"Extant"
"66","Ara militaris","0.518726295563737","0.803122027056239","0","0",NA,NA,"Psittacidae","Psittaciformes",7,2,3,2,3,56.6,49.3,27.2,57.2,28.8,366.7,151.2,216.8,41.1,366.1,1134,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-23.73,29.54,-3.31,-74.31,281783.13,"Extant"
"67","Aramus guarauna","0.604153015302586","0.910673764595047","0","waterbird",NA,NA,"Aramidae","Gruiformes",8,2,3,3,3,130.4,84.9,8.8,13.4,84.6,241.2,24.4,196.6,11.1,225.8,1080,"Dunning",NA,"NO",NA,NA,"Wetland",3,1,"Carnivore","Aquatic predator","Terrestrial",-39.32,31.24,-10.49,-58.48,12182050.36,"Extant"
"68","Aratinga solstitialis","0.461586357036783","0.823968424312004","0","0",NA,NA,"Psittacidae","Psittaciformes",11,4,7,0,11,25.8,22.8,13.1,22.6,14.2,154.4,63.1,91.3,40.8,136.2,119.6,"Dunning",NA,"NO",NA,NA,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-2.34,4.94,2.33,-59.36,116342.52,"Extant"
"69","Arborophila ardens","0.46764547857192","0.861352159994968",NA,NA,NA,NA,"Phasianidae","Galliformes",3,0,3,0,1,21.9,9.9,5.3,7.9,38.4,130.3,34.1,96.1,26.2,42.1,266.6,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Omnivore","Omnivore","Terrestrial",18.31,19.33,18.86,109.51,13199.58,"Extant"
"70","Arborophila brunneopectus","0.437827005961904","0.882379608347464",NA,NA,NA,NA,"Phasianidae","Galliformes",5,2,3,0,4,22.4,9.2,5.5,7,38.6,131.4,34.9,95.3,26.8,49.8,291.5,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",13.7,23.54,19.44,102.12,486283.06,"Extant"
"71","Arborophila rufipectus","0.441170241798845","0.851157246193516",NA,NA,NA,NA,"Phasianidae","Galliformes",1,0,0,1,1,21.3,8,4.6,6.5,43,139,26.5,112.5,19.1,69,400.1,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Omnivore","Terrestrial",27.76,29.48,28.66,103.57,7707.36,"Extant"
